gen_name,steps_mean,steps_median,steps_std,steps_min,steps_max,apples_mean,apples_median,apples_std,apples_min,apples_max,fitness_mean,fitness_median,fitness_std,fitness_min,fitness_max
gen_1493_153_460_140,127539.06,130721.5,22246.148369468363,3271.0,140546.0,742.87,765.0,121.05491770266914,49.0,765.0,1521.8717359223042,1579.772312489748,284.5270286169205,0.8880218848641677,1658.1343853566293
gen_1493_153_460_141,130048.16,131447.0,13123.590048245182,12240.0,146968.0,751.25,765.0,67.83618134889375,136.0,765.0,1487.269411609199,1573.9327822579621,300.33527723984645,3.477245699116351,1641.7421997078427
gen_1493_153_460_142,124957.37,131266.5,26168.792814975244,3752.0,138520.0,730.86,765.0,143.1512500818627,46.0,765.0,1484.231475685145,1575.1185870881266,364.64004951592403,0.7215967342250561,1653.4059560305766
gen_1493_153_460_143,123602.33,129348.5,28275.134047800733,3336.0,142564.0,724.52,765.0,155.64989431413056,44.0,765.0,1468.4551813462024,1584.7938901011767,396.8141362652041,0.7321584128643308,1659.4998249568123
gen_1493_153_460_144,127885.51,129973.0,17958.833861080737,5103.0,142156.0,748.94,765.0,98.44763278007248,65.0,765.0,1528.7756121066848,1582.720685434561,259.24387862061803,1.0783934873714245,1644.0757075006964
gen_1493_153_460_145,130554.17,130695.5,4236.95273057182,119504.0,142213.0,764.86,765.0,0.9901515035589251,757.0,765.0,1581.256618821248,1581.7784597239154,29.67499216347458,1455.881366336952,1654.6833110517907
gen_1493_153_460_146,125675.7,130935.0,22945.052341844854,3228.0,139490.0,738.88,765.0,125.51822815830376,48.0,765.0,1508.508751182902,1577.032150379819,323.3219188571474,0.8852912886179259,1701.4827859365519
gen_1493_153_460_147,126864.06,130296.0,21107.875816775122,3652.0,138510.0,743.34,765.0,114.25245905449911,49.0,765.0,1517.1710655430204,1578.2705207129402,296.3527588154188,0.8541021865588436,1659.3035549508375
gen_1493_153_460_148,125924.82,129736.5,21595.477441992338,4876.0,141152.0,743.25,765.0,119.20187708253592,63.0,765.0,1532.2183175188206,1585.338973172218,284.99914511751115,1.1531495650615056,1658.155366664587
gen_1493_153_460_149,127054.03,130663.0,22041.752925053395,4256.0,143686.0,742.63,765.0,119.10177622521003,60.0,765.0,1517.7962035796374,1578.1227920759225,291.95809723220657,1.1723539667260787,1653.1286603786268
gen_1493_153_460_150,129803.47,130373.0,5347.48923412661,111191.0,141121.0,754.28,765.0,33.61281898323912,603.0,765.0,1479.6651973245916,1578.3858183076804,306.67137086590407,308.7858874611069,1653.6417667959663
gen_1493_153_460_151,124868.87,129843.5,25020.02383997865,3202.0,146572.0,733.97,765.0,137.7604046887203,45.0,765.0,1492.1065773345874,1580.0384247816714,349.56376603140967,0.8011274088173737,1652.9069240210188
gen_1493_153_460_152,127653.48,130600.0,19436.276510936965,4849.0,141822.0,744.84,765.0,103.42782217566025,67.0,765.0,1505.4513908318352,1580.4592807584672,307.40152645055184,1.340493775527928,1636.84902195987
gen_1493_153_460_153,124458.86,130182.0,26483.976691962256,131.0,144820.0,730.12,765.0,145.4823893122463,1.0,765.0,1482.7330521338,1578.4244120276917,366.8615597853791,0.1,1651.6060177508875
gen_1493_153_460_154,126970.09,129860.5,18087.460038432706,3452.0,140220.0,748.94,765.0,99.51671417405217,49.0,765.0,1536.214171277248,1582.1764374208096,257.22029497640943,0.9019646493806505,1673.9315594118584
gen_1493_153_460_155,126722.85,130369.0,21443.331725445558,2387.0,139968.0,739.29,765.0,117.8409347383158,35.0,765.0,1480.4485455204972,1580.8289211691558,343.9497834553289,0.6127071707739011,1651.9655363563288
gen_1493_153_460_156,128052.02,130047.5,16199.77922934754,5413.0,142142.0,749.75,765.0,84.74790557884012,68.0,765.0,1512.044320877562,1579.5455638576627,274.0915230021714,1.2498624222724628,1668.5470169544465
gen_1493_153_460_157,124150.63,129935.0,26079.409788818073,4273.0,141674.0,728.74,765.0,139.9258818089062,57.0,765.0,1459.2973046333573,1582.2588040581757,394.3416385355688,1.0369338380987456,1672.6810453218166
gen_1493_153_460_158,124010.45,130372.0,27301.52000910389,3198.0,145706.0,722.97,765.0,147.6939711024116,44.0,765.0,1423.5494655758482,1571.3924174627232,428.7188030039437,0.762828758959386,1664.6910408280692
gen_1493_153_460_159,123554.25,129392.0,26733.339154088102,4872.0,139572.0,728.71,765.0,146.46148264987625,63.0,765.0,1479.5135757411947,1585.2272995534136,378.7273693198056,1.1540574745858758,1646.6657087918566
